Address,City,State,Type,Status,Subtype,Market,Legal Entity,Floors,Units,Total Sq Ft,Reserve Requirement,Year Built,Last Renovated,Occupancy,property_id
1200 Bernard Drive,Baltimore,MD,Industrial,Sold,Distribution Center,Mid-Atlantic,"GCP-1200, LLC",1,10,90000,300000,1988,2013,0.8,4f1b05789b854a78b68452d6759bd67f
2 Park Center Court,Owings Mills,MD,Office,Sold,Business Park,Mid-Atlantic,"GCP-2, LLC",2,10,50000,200000,1985,2010,0.8,92ec19044db842d68770982ae8f1804c
108 Myrtle Street,Quincy,MA,Office,Sold,Small Office/Creative Space,Northeast,"GCP-108, LLC",2,8,20000,100000,1980,2010,1.0,74e9e9a2aeca40c8aebfd5f07e6f9718
7600 Dorsey Run Road,Hanover,MD,Office,Stabilized,Stabilized Government Office,Mid-Atlantic,"GCP-7600, LLC",3,12,60000,250000,1993,2018,0.9166666666666666,57e217c5387d4711815590f353ad5421
18212 Shawley Drive,Hagerstown,MD,Industrial,Stabilized,Stabilized Warehouse,Mid-Atlantic,"GCP-18212, LLC",1,6,80000,250000,1995,2015,0.8333333333333334,cab495652c284c9da365f44746442796
950 Principio Furnace Road,Perryville,MD,Industrial,Stabilized,Large-Scale Distribution Facility,Mid-Atlantic,"GCP-950, LLC",1,20,400000,1000000,2000,2020,0.2,8f486bc8858a4648b9ca4827ee74ba99
7 Old Solomons Island Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-7, LLC",1,6,15000,75000,1975,2010,1.0,46e535dcbe0e4f4987c3331c6100b45b
1940 West St,Annapolis,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-1940, LLC",1,8,20000,100000,1980,2010,1.0,8ff9cf5d8f654be4887965fa989ef1a4
115 West St,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-115, LLC",1,4,8000,40000,1950,2010,1.0,e3ce7e063f834f949b6b996e03d33e3a
170 Jennifer Rd,Annapolis,MD,Office/Retail,For Lease,Class A Office,Mid-Atlantic,"GCP-170, LLC",4,16,65000,250000,1998,2018,0.8125,d7afc3d42ccf47e08b6f18a05b065e89
4 Church Cir,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-4, LLC",1,4,6000,30000,1920,2010,1.0,f1785adda02b418ab11c2e8be0bddd56
302 Harry S Truman Pkwy,Annapolis,MD,Mixed-Use,For Lease,Mixed-Use Office,Mid-Atlantic,"GCP-302, LLC",3,12,40000,150000,1985,2015,0.8333333333333334,2395b8d0efeb4dffb04d34dbbe0245ae
509 S Cherry Grove Ave,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-509, LLC",1,3,5000,25000,1955,2010,0.6666666666666666,47a0f02e52994751a3ca3ab530a1290f
2444 Solomons Island Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-2444, LLC",1,5,12000,60000,1980,2010,0.8,edd147456cc34963b22f00e217c031e1
914 Bay Ridge Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-914, LLC",1,4,9000,45000,1970,2010,0.75,a83b7e8b0fc84a089f9ee52f61a0e51a
1544-1598 Whitehall Rd,Annapolis,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-1544-1598, LLC",1,10,25000,100000,1985,2015,0.8,f8453f7be3734c6e83207fccd77edd75
407 East Ohio Street,Pittsburgh,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-407, LLC",1,6,18000,90000,1960,2010,1.0,e77519ac0c9240ac81c888a23bd9a472
4230 Main Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-4230, LLC",1,5,12000,60000,1920,2010,0.4,c3708af414d04c93a283263f18524281
520 Pottsville Park Plaza,Pottsville,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-520, LLC",1,10,25000,100000,1980,2010,1.0,5924eaa726a84810bf924defa86d1b07
1003 W Chester Pike,West Chester,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1003, LLC",1,6,18000,90000,1970,2010,0.3333333333333333,b0ba570dd1ba43c1828e8febfb7e3c73
130 Kline Plaza,Harrisburg,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-130, LLC",1,8,22000,110000,1975,2010,0.75,0555e6ee4a5c47378c7899f0434c49c2
180 West Girard Avenue,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-180, LLC",1,6,16000,80000,1925,2010,0.8333333333333334,ec8d76169b9f47968c394937e8575aac
1026 Wyoming Avenue,Wyoming,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1026, LLC",1,5,11000,55000,1950,2010,0.8,121658313446400d961ab5f4e8adbf04
901 Dekalb Pike,Blue Bell,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-901, LLC",1,7,21000,105000,1980,2010,0.8571428571428571,becf4cd792664380833150e058c01fa4
1100 Town Square Road,Pottstown,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1100, LLC",1,8,24000,120000,1985,2010,1.0,31d40cce933e4e29ba710bd36504efd5
550-571 Hepburn Road,Avondale,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-550-571, LLC",1,10,26000,130000,1990,2010,0.4,770ad6e9012d4010b2a18344f718c7e0
1508 Sullivan Trail,Easton,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1508, LLC",1,6,15000,75000,1970,2010,0.3333333333333333,ac9d42d6c4184de2bcc4b31d6527ac7c
1709 Walnut Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1709, LLC",1,4,9000,45000,1920,2010,1.0,47e30298dee04846be4076fba3670486
215 S Broad Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-215, LLC",1,5,12000,60000,1960,2010,0.6,c8cc4a5421fc4a06a9e250a8bb2369ac
4124 Haverford Avenue,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-4124, LLC",1,4,8000,40000,1950,2010,0.75,9a93900714534953aef7c47af83d5d53
616 S 6th St,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-616, LLC",1,3,6000,30000,1920,2010,1.0,a156c194ff164d3c84a2bc48997d9cd3
11-15 E Saratoga St,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-11-15, LLC",3,12,30000,120000,1920,2015,0.8333333333333334,8ae5f2dcfd0b48c985ce63f89565692d
1214 Eutaw Pl,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-DTBAL, LLC",4,16,40000,160000,1925,2015,0.625,ff93ad65cf104e1287ca24cd181819e7
2116 N Charles St,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-DTBAL, LLC",4,20,50000,200000,1930,2015,0.4,0687eadad7804f2bb178e5e8b81c0140
3401 Greenway,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-3401, LLC",3,10,25000,100000,1910,2010,0.9,7119dc51e6854096b0f293eb7f8c5eb0
409 Twinridge Lane,Richmond,VA,Commercial,For Sale,Other,Mid-Atlantic,"GCP-409, LLC",1,2,8000,30000,1970,2010,0.5,8eb85a024141495fbb3adfe0c039e8de
